X,Y
0.99661404,0.0018918484
0.99398583,0.0033367088
0.99061364,0.0051596314
0.98650265,0.0073358114
0.9816592,0.009833834
0.97609055,0.012617963
0.9698055,0.015647635
0.9628134,0.018877197
0.9551251,0.022257091
0.9467524,0.025733357
0.9377083,0.029248595
0.92800635,0.03274239
0.9176617,0.03615123
0.9066902,0.039409295
0.89510846,0.04244884
0.8829345,0.045201004
0.8701867,0.04759533
0.8568848,0.04956136
0.8430488,0.051028997
0.82870024,0.051927973
0.81386054,0.05218966
0.7985525,0.05174743
0.7827991,0.050536193
0.766604,0.048760198
0.7500042,0.046896927
0.73302877,0.044958685
0.715703,0.042946596
0.6980532,0.04086215
0.68010587,0.038707357
0.661888,0.036484748
0.64342695,0.034197416
0.62475055,0.031849053
0.6058868,0.029443923
0.5868641,0.026986994
0.567711,0.024483819
0.5484564,0.02194066
0.52912915,0.019364357
0.50975835,0.016762428
0.4903731,0.014143009
0.4710025,0.011514731
0.45167568,0.008886848
0.43242165,0.00626906
0.41326937,0.0036714673
0.39424762,0.0011045635
0.3753849,-0.0014208928
0.3567096,-0.003893882
0.33824974,-0.006303292
0.32003313,-0.008637924
0.30208698,-0.010886621
0.28443837,-0.013038337
0.26711372,-0.015082177
0.2501391,-0.01700759
0.23353995,-0.018804267
0.2173413,-0.020462386
0.20156735,-0.02197257
0.18624194,-0.023325965
0.171388,-0.024514297
0.15702783,-0.025529923
0.14318307,-0.026365813
0.12987451,-0.027015628
0.117122136,-0.027473712
0.10494517,-0.027735053
0.093361855,-0.027795369
0.0823897,-0.027650956
0.07204513,-0.02729879
0.062343787,-0.026736425
0.053300202,-0.025961984
0.044928078,-0.024974108
0.037239928,-0.02377189
0.03024741,-0.022354865
0.02396105,-0.020722926
0.0183903,-0.018876268
0.013543572,-0.016815368
0.009428208,-0.014540937
0.006050386,-0.012053818
0.0034152437,-0.009355044
0.0015267252,-0.006445666
3.8773127E-4,-0.003326883
0.0,0.0
0.0,0.0
3.6430053E-4,0.003477253
0.0014803291,0.0070464974
0.0033464264,0.010704448
0.005959771,0.014446604
0.009316499,0.018267356
0.013411555,0.022159819
0.01823884,0.026116094
0.023791092,0.030127186
0.030059973,0.034183208
0.037036102,0.038273454
0.044709023,0.042386487
0.053067148,0.04651021
0.062098015,0.05063212
0.07178797,0.05473927
0.08212252,0.058818523
0.093086064,0.062856585
0.104662195,0.06684018
0.116833426,0.07075618
0.12958153,0.07459164
0.14288722,0.078333974
0.15673055,0.08197109
0.17109069,0.08549137
0.18594597,0.08888384
0.20127404,0.092138246
0.21705186,0.09524506
0.23325561,0.09819558
0.24986093,0.10098198
0.2668428,0.10359725
0.28417563,0.106035404
0.3018333,0.10829124
0.31978923,0.11036059
0.33801633,0.11224015
0.3564872,0.113927536
0.37517402,0.11542125
0.3940486,0.116720684
0.4130825,0.11782603
0.43224713,0.11873833
0.45151356,0.119459316
0.47085276,0.11999152
0.49023566,0.12033817
0.50963306,0.120503135
0.5290158,0.12049089
0.54835457,0.12030655
0.5676204,0.11995575
0.58678424,0.1194446
0.6058172,0.11877982
0.6246907,0.117968485
0.6433763,0.11701821
0.66184604,0.115936965
0.6800719,0.11473313
0.6980266,0.11341546
0.7156831,0.11199306
0.73301494,0.110475436
0.7499958,0.1088723
0.76660055,0.107193775
0.7828078,0.10543851
0.79860616,0.10313992
0.8139516,0.10010472
0.82882124,0.09640868
0.8431928,0.09212923
0.8570451,0.0873457
0.8703574,0.08213896
0.8831101,0.07658978
0.8952843,0.070779055
0.90686196,0.06478773
0.9178261,0.058694854
0.9281605,0.052578323
0.93785006,0.0465137
0.9468802,0.04057426
0.95523787,0.03482946
0.96291065,0.029345617
0.96988726,0.024185002
0.9761573,0.019405065
0.98171175,0.015058515
0.9865422,0.011192583
0.99064165,0.007848763
0.9940041,0.005063458
0.9966244,0.0028656523
0.9984988,0.0012793833
